group,image,label,nuc_area,nuc_mean,nuc_integrated,cell_area,cell_mean,cell_integrated,cyto_area,cyto_mean,cyto_integrated,saturated_px,flag_saturated,flag_area_outlier,flag_no_cyto,keep
unknown,PB154766,38,45853.0,0.5964946425105639,27351.06884303689,214641.0,0.5114555464023279,109779.32993534207,167860.0,0.4878886852833748,81896.9947116673,0.0,False,False,False,True
unknown,PB154766,39,35104.0,0.9023497028542902,31676.083968997,71632.0,0.7880855760569747,56452.14598411322,36528.0,0.6782758983551307,24776.062015116215,0.0,False,False,False,True
unknown,PB154766,40,38240.0,0.9444533135726362,36115.89471101761,142424.0,0.6776799761451078,96517.89292249084,104328.0,0.5805165041987926,60564.12585005164,0.0,False,False,False,True
unknown,PB154766,41,34960.0,0.7937096692195473,27748.090035915375,40512.0,0.7744443175672755,31374.288193285465,5600.0,0.6420489286950656,3595.4740006923676,0.0,False,False,False,True
unknown,PB154766,42,33320.0,0.8902377660874845,29662.722366034985,50388.0,0.8052058519169036,40572.71246638894,17068.0,0.6392072943727417,10909.990100353956,4.0,True,False,False,False
unknown,PB154766,43,33424.0,0.6632191335346395,22167.43631926179,102768.0,0.5356187132926242,55044.46392765641,69344.0,0.474114957435317,32877.02760839462,0.0,False,False,False,True
unknown,PB154766,44,44160.0,0.8335226153387971,36808.35869336128,128816.0,0.6804591534783504,87654.02631446719,84672.0,0.6003883904045362,50836.08579233289,0.0,False,False,False,True
unknown,PB154766,45,41888.0,0.7963608330837113,33357.9625762105,89188.0,0.7050263450380376,62879.8896612525,47540.0,0.6238682219811131,29658.69527298212,0.0,False,False,False,True
unknown,PB154766,46,33552.0,0.819397867049242,27492.437235236168,78348.0,0.6818632574329462,53422.622493356466,44796.0,0.5788504611599317,25930.1852581203,0.0,False,False,False,True
unknown,PB154766,47,42832.0,0.7534341668737249,32271.092235535383,136576.0,0.619349691499681,84588.30346626043,93328.0,0.5573880742665667,52019.91419515014,0.0,False,False,False,True
unknown,PB154766,48,43960.0,0.895550172739375,39368.38559362292,57828.0,0.8356229920091491,48322.40638190508,14608.0,0.6481267094004161,9467.834970921278,2.0,True,False,False,False
unknown,PB154766,50,27104.0,1.1593886267860039,31424.06934040785,31232.0,1.143964174856264,35728.28910911083,4144.0,1.0427878626611473,4321.312902867794,0.0,False,False,False,True
unknown,PB154766,51,44384.0,1.2895058488907063,57233.42759716511,51664.0,1.2722543368514623,65729.74805909395,7408.0,1.1660971910195912,8638.447991073132,4.0,True,False,False,False
unknown,PB154766,52,29504.0,0.6490831705196124,19150.549863010645,53760.0,0.5699188661839192,30638.838246047497,24704.0,0.4745114320307642,11722.330416887999,0.0,False,False,False,True
unknown,PB154766,53,65116.0,1.0743385537945307,69956.62926888466,115784.0,0.9931693133287215,114993.11577445269,50540.0,0.8886826021259936,44914.018711447716,0.0,False,False,False,True
unknown,PB154766,54,28400.0,0.7994724432179625,22705.017387390137,81088.0,0.6867480234271643,55687.0237236619,51920.0,0.624626851924487,32430.626151919365,0.0,False,False,False,True
unknown,PB154766,55,39008.0,1.0013959201341578,39062.45205259323,135308.0,0.807037698505457,109198.65690937638,95420.0,0.7273899293409981,69407.54705771804,0.0,False,False,False,True
unknown,PB154766,57,30752.0,0.8751555245629397,26912.78269135952,88072.0,0.6987813190637514,61543.06833258271,57624.0,0.6056238023100562,34898.46598431468,0.0,False,False,False,True
unknown,PB154766,59,35168.0,0.8722179961840777,30674.162489801645,232092.0,0.6700366722726784,155510.15134111047,196924.0,0.6339297843396885,124835.98885130882,0.0,False,False,False,True
unknown,PB154766,60,32832.0,0.6522848059942484,21415.814750403166,227760.0,0.5397064959531579,122923.55151829123,192988.0,0.5198684042440841,100328.3635982573,0.0,False,False,False,True
unknown,PB154766,61,28480.0,0.837735407581825,23858.704407930374,42944.0,0.7818962250032564,33577.75148653984,14464.0,0.6709568723005993,9704.720200955868,0.0,False,False,False,True
unknown,PB154766,62,28240.0,0.758696683480407,21425.594341486692,184660.0,0.5423067386172244,100142.36235305667,156196.0,0.5030642470992718,78576.62313991785,0.0,False,False,False,True
unknown,PB154766,63,23120.0,0.7507122519622624,17356.467265367508,54880.0,0.6300077576412881,34574.825739353895,32016.0,0.542467206341402,17367.630078226328,0.0,False,False,False,True
unknown,PB154766,64,24976.0,0.6808126154346755,17003.975883096457,41120.0,0.6439706899957724,26480.07477262616,16176.0,0.5826716126964366,9425.296006977558,0.0,False,False,False,True
unknown,PB154766,65,27680.0,1.0068927999521267,27870.792702674866,66036.0,0.8265720377594108,54583.51108548045,38484.0,0.6974316748243807,26839.96057394147,0.0,False,False,False,True
unknown,PB154766,67,29868.0,1.244778120750817,37179.0329105854,46320.0,1.1799065391235504,54653.270892202854,16452.0,1.0612447814164068,17459.599143862724,0.0,False,False,False,True
unknown,PB154766,68,30096.0,0.6419658267495244,19320.603521853685,173256.0,0.47825108674939826,82859.87028585374,142792.0,0.44364968256275505,63349.62547250092,0.0,False,False,False,True
unknown,PB154766,69,30416.0,0.7722127861326177,23487.6241030097,46192.0,0.7280299672163355,33629.16024565697,16208.0,0.6437166357837684,10433.359232783318,0.0,False,False,False,True
unknown,PB154766,71,25392.0,0.8855032484400982,22484.698484390974,36000.0,0.815464778246151,29356.73201686144,11296.0,0.6565257156341635,7416.114483803511,0.0,False,False,False,True
unknown,PB154766,72,28544.0,0.8534394839743044,24360.576630562544,59760.0,0.7309341125793686,43680.62256774306,31392.0,0.6191130799927752,19435.197807133198,0.0,False,False,False,True
unknown,PB154766,75,29720.0,0.7503322713498232,22299.875104516745,89544.0,0.5746744747848492,51458.651170134544,60080.0,0.4883296847229355,29338.847458153963,0.0,False,False,False,True
unknown,PB154766,76,31152.0,0.8352767562500378,26020.54151070118,43792.0,0.7842145729558199,34342.324578881264,12640.0,0.6583689136218421,8321.783068180084,30.0,True,False,False,False
unknown,PB154766,77,29520.0,0.8656139598427426,25552.924094557762,85584.0,0.7570036523511424,64787.40058282018,56064.0,0.6998158620195208,39234.476488262415,0.0,False,False,False,True
unknown,PB154766,78,26352.0,0.7297340692046399,19229.95219168067,37824.0,0.6883409813112641,26035.809277117252,11744.0,0.593107874299671,6965.458875775337,0.0,False,False,False,True
unknown,PB154766,79,28168.0,0.832654974300883,23454.225316107273,31020.0,0.8239334995442248,25558.417155861855,2852.0,0.7377951752295167,2104.1918397545815,0.0,False,False,False,True
unknown,PB154766,80,29328.0,0.6399464721659852,18768.350135684013,65384.0,0.581600905219534,38027.39358687401,35880.0,0.5339656400017715,19158.68716326356,0.0,False,False,False,True
unknown,PB154766,82,25872.0,0.9605446308067941,24851.210688233376,36652.0,0.8316660499078055,30482.224061220884,11660.0,0.5462251025014022,6368.984695166349,0.0,False,False,False,True
unknown,PB154766,83,25552.0,0.8124897967949369,20760.73928770423,50080.0,0.7080947520389868,35461.385182112455,24528.0,0.5993414014354299,14700.645894408226,0.0,False,False,False,True
unknown,PB154766,85,25520.0,0.8498991587926228,21689.426532387733,158596.0,0.653323061743006,103614.42430019379,132560.0,0.6153546951099663,81571.41838377714,0.0,False,False,False,True
unknown,PB154766,86,27888.0,0.7497334894812353,20908.56755465269,125168.0,0.6304287918766304,78909.51102161407,97280.0,0.5962268037310997,58000.943466961384,0.0,False,False,False,True
unknown,PB154766,87,25616.0,0.8432105658593344,21599.68185505271,89584.0,0.6591862380643666,59052.53995075822,63968.0,0.5854936545726849,37452.85809570551,0.0,False,False,False,True
