condition,rep,field,label,nuc_area,nuc_perimeter,nuc_equivalent_diameter_area,nuc_solidity,nuc_eccentricity,nuc_axis_major_length,nuc_axis_minor_length,nuc_feret_diameter_max,nuc_circularity,nuc_aspect,cell_area,cell_perimeter,cell_equivalent_diameter_area,cell_solidity,cell_eccentricity,cell_axis_major_length,cell_axis_minor_length,cell_feret_diameter_max,cell_circularity,cell_aspect,cell_nuc_area_ratio,blue_nuc_mean,blue_nuc_integrated,blue_cell_mean,blue_cell_integrated,blue_cell_cv,blue_cyto_mean,blue_cyto_integrated,cyto_area,blue_nc_ratio,green_nuc_mean,green_nuc_integrated,green_cell_mean,green_cell_integrated,green_cell_cv,green_cyto_mean,green_cyto_integrated,green_nc_ratio,red_nuc_mean,red_nuc_integrated,red_cell_mean,red_cell_integrated,red_cell_cv,red_cyto_mean,red_cyto_integrated,red_nc_ratio,green_saturated_px,red_saturated_px,flag_area_outlier,flag_no_cyto,flag_saturated,keep_shape,keep_intensity
control1_health,2,PB154808,69,29168.0,770.6101730552664,192.71183420027745,0.9689721613181849,0.7438694355615205,236.26886947846256,157.90438463097075,246.13207836444238,0.6172300183905812,1.4962780801219226,29184.0,770.6101730552664,192.76468264065124,0.969503687462627,0.744513206460971,236.46194837767226,157.8638253403577,246.13207836444238,0.6175685976656172,1.49788558504683,1.0005485463521668,5.831871645076551,170104.03214359283,5.814207582742695,169681.8340947628,0.09103618937437233,4.33071871319922,2840.9514758586884,656.0,1.3466290542727002,0.8733286540781608,25473.250182151794,0.8735266406070686,25493.00147947669,0.18487721693986114,0.6733035684177061,441.6871408820152,1.2970800914222433,0.5492044691133322,16019.195955097675,0.549412512136705,16034.054754197598,0.06610479160887461,0.5694904371005732,373.5857267379761,0.9643787381390946,0.0,0.0,False,True,False,False,False
control1_health,2,PB154808,70,29056.0,756.3675323681471,192.34148853490993,0.96627868307283,0.7052314369275783,230.2126746047092,163.2155293684461,235.01702066020664,0.6382339975425718,1.4104826636013437,43744.0,1001.8233764908629,236.00125136298527,0.9311196253724989,0.7815397754209359,302.7044186883822,188.84379089120668,313.68296096536704,0.5477041534468419,1.6029355122550515,1.5055066079295154,6.871988813142551,199672.50695466995,5.75121886434133,251581.31800174713,0.2985130737368547,3.6320360662767395,56311.087171554565,15504.0,1.8920486161876526,1.08414718036905,31500.980472803116,1.0120850268127322,44272.647412896156,0.172876740786785,0.8701028911544874,13490.075224459171,1.2459988254154173,0.6411362310762759,18628.854330152273,0.6631498840557795,29008.828528136015,0.12524511265084268,0.7081623405095101,10979.348927259445,0.9053520561612891,0.0,0.0,False,False,False,True,True
control1_health,2,PB154808,71,26352.0,711.2964645562816,183.17316529137395,0.9659824046920821,0.6747270654608731,214.21108193379754,158.10220181027674,217.50632174720806,0.6545188304712333,1.3548899349981962,75312.0,1863.6467529817257,309.66145480684963,0.6692496356591903,0.9131104351102804,579.9747598390928,236.4628530353746,525.9629264501444,0.2724876672894667,2.452709812108751,2.8579234972677594,6.257196240393987,164889.63532686234,4.38683283001672,330381.1540942192,0.3316687608977498,3.380137229725426,165491.51876735687,48960.0,1.8511663329427217,0.7742486728844982,20403.001027852297,0.6298400144458184,47434.51116794348,0.23177952443785557,0.5521141776979408,27031.51014009118,1.4023343434373572,0.4318188966489971,11379.291564494371,0.47550561082821846,35811.27856269479,0.1880172848403731,0.49901934228350525,24431.986998200417,0.865334988164988,0.0,0.0,False,False,False,True,True
control1_health,2,PB154808,72,23504.0,686.7106781186548,172.99197166185274,0.9540509823023218,0.4720365720094733,185.25277604875077,163.31495090393415,190.41270965983338,0.6263311930316603,1.1343283332199083,51040.0,1457.8061325481597,254.9238050149156,0.7193595670312324,0.7152380361783469,340.45970217677325,237.94079262378276,358.10194079340033,0.3018012151485835,1.43085890579127,2.1715452688904016,6.145271868426594,144438.46999549866,4.747319566236581,242303.1906607151,0.2959098278640971,3.554064521543305,97864.72066521645,27536.0,1.7290828096047317,0.956423968114745,22479.788946568966,0.8301043629587911,42368.5266854167,0.20931261201369766,0.7222812949901123,19888.737738847733,1.3241710324615812,0.5795089697770881,13620.778825640678,0.5992996577348642,30588.254530787468,0.10510210170323693,0.616192464597138,16967.47570514679,0.9404674725387412,0.0,0.0,False,False,False,True,True
control1_health,2,PB154808,74,32064.0,850.0243866176395,202.05235153887287,0.9136083884203328,0.8156937101506155,272.57276155650135,157.67898916248623,270.4071004984891,0.557653962972211,1.7286561957574356,156576.0,3925.050865276332,446.49608616028524,0.5227738639778304,0.9063348214004051,959.1047667059289,405.279580225108,962.7652881154368,0.12771575635848195,2.36652625373626,4.883233532934132,5.751825507083339,184426.53305912018,3.796868636535704,594498.5036342144,0.29377645262951496,3.287837606508282,408112.70642066,124128.0,1.7494250615351523,0.8260367649185384,26486.042830348015,0.5798414976440938,90789.26233512163,0.28882822102483663,0.5159839551399343,64048.05638360977,1.6008962230124346,0.5101683334198347,16358.03744277358,0.5160949555701134,80808.08376334608,0.2382863303796417,0.5178117332909209,64274.93482993543,0.9852390369323827,0.0,67.0,False,False,True,True,False
control1_health,2,PB154808,75,27952.0,754.0243866176395,188.65203882926173,0.9586391384868647,0.7078964433456201,227.46737858662618,160.6639026981866,229.3926764306132,0.6178057807090439,1.415796422012308,131056.0,3271.210244842766,408.4919604775735,0.5201790874162512,0.7967904933016711,678.5621605583352,410.02503018936034,783.0715165296207,0.15390398223104662,1.6549286277595232,4.688609044075558,6.24616996160083,174592.9427666664,4.0408934201404385,529583.3280699253,0.31252417059724286,3.443032135545264,354990.3853032589,103104.0,1.8141480287437517,0.8041284954954743,22476.999706089497,0.6292677789564051,82469.31803891063,0.21318366291587854,0.5818621812230479,59992.31833282113,1.3819913399513828,0.4645981232464552,12986.446740984917,0.507778421160097,66547.40876355767,0.1874582164247933,0.5194848116714459,53560.962022572756,0.8943439977611811,0.0,0.0,False,False,False,True,True
control1_health,2,PB154808,76,27344.0,746.6101730552664,186.58901926758253,0.9570878543927196,0.7136488242704718,225.04918097212536,157.64777140803264,227.26416347501865,0.6164304776634689,1.427544322143576,213200.0,6043.567675943146,521.0131197364772,0.5240801557491495,0.8839562867828656,1021.6553493395317,477.69493082031653,1074.1010194576672,0.0733517171353774,2.1387192608159036,7.796957284961966,6.878212127004052,188077.8324007988,3.8175035624656175,813891.7595176697,0.33742226162547173,3.367197868870905,625813.9271168709,185856.0,2.0427110003221958,1.0527144550531666,28785.42405897379,0.6206893962104482,132330.97927206755,0.3842431719598668,0.5571278581971728,103545.55521309376,1.8895383520394722,0.5709763073943873,15612.776149392128,0.48422641737907285,103237.07218521833,0.33429479010807084,0.47146336968312136,87624.2960358262,1.2110724694861243,0.0,5.0,False,False,True,True,False
control1_health,2,PB154808,77,23740.0,696.1248916810279,173.85829514870082,0.9462691326530612,0.560440853351084,192.28629114446514,159.25043947176252,200.68383093812017,0.6156250058943722,1.207445905846686,87808.0,1957.161471607487,334.3659940007434,0.70643131828348,0.4559695410032323,398.9635593821939,355.075724920016,474.80522322316546,0.2880650924601541,1.123601337354346,3.6987363100252737,6.117480240474755,145228.9809088707,4.355537221834889,382451.01237487793,0.2753283356178888,3.7026601652308053,237222.03146600723,64068.0,1.6521851770032538,0.9306155505683509,22092.81317049265,0.7965471880308844,69943.2154866159,0.1579432281431162,0.7468689878897928,47850.40231612325,1.2460224827351802,0.5460228036395521,12962.581358402967,0.5853098226275361,51394.88490527868,0.10537915682858226,0.5998673838246193,38432.303546875715,0.9102391934667855,0.0,0.0,False,False,False,True,True
control1_health,2,PB154808,78,25564.0,718.953318805774,180.4136794192993,0.9626449766531104,0.723852012795151,218.84715503638392,150.99474619281472,222.46348014898985,0.6214944965647042,1.4493693360491111,25564.0,718.953318805774,180.4136794192993,0.9626449766531104,0.723852012795151,218.84715503638392,150.99474619281472,222.46348014898985,0.6214944965647042,1.4493693360491111,1.0,6.651533375751094,170039.79921770096,6.651533375751094,170039.79921770096,0.1261449145440232,,0.0,0.0,,0.8893615736102503,22735.639267772436,0.8893615736102503,22735.639267772436,0.20228967621016566,,0.0,,0.4836221100475993,12363.315621256828,0.4836221100475993,12363.315621256828,0.08941989859007327,,0.0,,0.0,0.0,False,True,False,False,False
control1_health,2,PB154808,80,22544.0,685.539105243401,169.42228984554987,0.9416088881463537,0.5876599533584566,190.65570166101645,154.26105623472424,206.18438350175796,0.6028043437762394,1.2359289266820135,22560.0,685.539105243401,169.4824006474574,0.9422771698270821,0.5862027617890004,190.58897921177532,154.40840211326713,206.18438350175796,0.6032321680088698,1.234317411509561,1.000709723207949,6.5265519180308,147134.58644008636,6.523899264982406,147179.16741800308,0.0887157289591389,4.85076628471243,2250.7555561065674,464.0,1.3454682281023804,1.1097325052143285,25017.809597551823,1.1112823359668256,25070.529499411583,0.1814184795255192,0.7603112094361206,352.78440117836,1.4595766726066735,0.531501269535108,11982.164620399475,0.5314761303735117,11990.101501226425,0.07721288586889048,0.5188642788421491,240.7530253827572,1.0243550986419,4.0,0.0,False,True,True,False,False
