group,image,label,nuc_area,nuc_mean,nuc_integrated,cell_area,cell_mean,cell_integrated,cyto_area,cyto_mean,cyto_integrated,saturated_px,flag_saturated,flag_area_outlier,flag_no_cyto,keep
control,PB154766,46,33552.0,0.5008246305837879,16803.668005347252,78348.0,0.3632900209674921,28463.04656276107,44796.0,0.26027722469447756,11659.378557413816,0.0,False,False,False,True
control,PB154766,47,42832.0,0.4348609304082708,18625.963371247053,136576.0,0.3007764550342269,41078.845122754574,93328.0,0.2388148378011126,22288.111182302237,0.0,False,False,False,True
control,PB154766,48,43960.0,0.5769769362739209,25363.90611860156,57828.0,0.517049755543695,29899.9532635808,14608.0,0.32955347293496196,4814.1171326339245,2.0,True,False,False,False
control,PB154766,50,27104.0,0.8408153903205497,22789.46033924818,31232.0,0.8253909383908098,25778.60978782177,4144.0,0.7242146261956931,3001.1454109549522,0.0,False,False,False,True
control,PB154766,51,44384.0,0.9709326124252522,43093.87306988239,51664.0,0.9536811003860083,49270.98037034273,7408.0,0.8475239545541371,6278.457455337048,4.0,True,False,False,False
control,PB154766,52,29504.0,0.3305099340541583,9751.365094333887,53760.0,0.25134562971846514,13512.341053664684,24704.0,0.15593819556531008,3852.2971832454205,0.0,False,False,False,True
control,PB154766,53,65116.0,0.7557653173290766,49212.41440320015,115784.0,0.6745960768632674,78107.43216353655,50540.0,0.5701093656605395,28813.327340483665,0.0,False,False,False,True
control,PB154766,54,28400.0,0.48089920675250847,13657.53747177124,81088.0,0.3681747869617102,29854.557125151157,51920.0,0.3060536154590329,15890.303714632988,0.0,False,False,False,True
control,PB154766,55,39008.0,0.6828226836687038,26635.547244548798,135308.0,0.48846446204000293,66093.14942970872,95420.0,0.408816692875544,39009.28883418441,0.0,False,False,False,True
control,PB154766,57,30752.0,0.5565822880974856,17116.018523573875,88072.0,0.3802080825982973,33485.68625059724,57624.0,0.28705056584460215,16541.001806229353,0.0,False,False,False,True
control,PB154766,59,35168.0,0.5536447597186236,19470.578909784555,232092.0,0.3514634358072243,81571.8517433703,196924.0,0.3153565478742344,62101.27283358574,0.0,False,False,False,True
control,PB154766,60,32832.0,0.3337115695287944,10956.418250769377,227760.0,0.22113325948770376,50365.31118091941,192988.0,0.20129516777863,38847.55183926225,0.0,False,False,False,True
control,PB154766,61,28480.0,0.5191621711163709,14785.738633394241,42944.0,0.46332298853780224,19896.94241976738,14464.0,0.35238363583514515,5096.87690871954,0.0,False,False,False,True
control,PB154766,62,28240.0,0.4401234470149529,12429.086143702269,184660.0,0.22373350215177035,41314.628507345915,156196.0,0.18449101063381765,28816.75789695978,0.0,False,False,False,True
control,PB154766,63,23120.0,0.43213901549680833,9991.05403828621,54880.0,0.3114345211758341,17091.526522129774,32016.0,0.22389396987594795,7168.189339548349,0.0,False,False,False,True
control,PB154766,64,24976.0,0.3622393789692214,9047.290729135275,41120.0,0.3253974535303183,13380.343289166689,16176.0,0.2640983762309825,4272.055333912373,0.0,False,False,False,True
control,PB154766,65,27680.0,0.6883195634866726,19052.685517311096,66036.0,0.5079988012939567,33546.208842247725,38484.0,0.3788584383589267,14579.988141804934,0.0,False,False,False,True
